decision_time,ticker,retrieved_note,note_event_time,days_in_future,position_taken,next_day_return
2026-01-06T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,9.7,-1,0.017496
2026-01-06T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,79.6,1,0.015375
2026-01-06T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,10.7,1,0.015375
2026-01-06T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,93.6,1,0.000404
2026-01-06T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,9.7,1,0.000404
2026-01-06T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,100.6,0,-0.01852
2026-01-06T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,125.7,0,-0.01852
2026-01-06T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,110.6,0,-0.004622
2026-01-06T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,129.7,0,-0.004622
2026-01-06T21:00:00+00:00,VYTR,VYTR cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-12T12:00:00,5.6,-1,0.008037
2026-01-06T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,6.7,-1,0.008037
2026-01-06T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,139.7,-1,0.008037
2026-01-07T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,7.6,-1,0.000784
2026-01-07T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,162.6,-1,0.000784
2026-01-07T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,163.7,-1,0.000784
2026-01-07T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,8.7,-1,0.000784
2026-01-07T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,78.6,1,0.001043
2026-01-07T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,9.7,1,0.001043
2026-01-07T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,92.6,1,-0.002761
2026-01-07T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,8.7,1,-0.002761
2026-01-07T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,99.6,0,-0.016975
2026-01-07T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,124.7,0,-0.016975
2026-01-07T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,109.6,0,0.018647
2026-01-07T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,128.7,0,0.018647
2026-01-07T21:00:00+00:00,VYTR,VYTR cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-12T12:00:00,4.6,-1,-0.002975
2026-01-07T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,5.7,-1,-0.002975
2026-01-07T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,138.7,-1,-0.002975
2026-01-08T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,6.6,-1,-0.004912
2026-01-08T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,161.6,-1,-0.004912
2026-01-08T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,162.7,-1,-0.004912
2026-01-08T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,7.7,-1,-0.004912
2026-01-08T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,77.6,1,4.8e-05
2026-01-08T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,8.7,1,4.8e-05
2026-01-08T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,91.6,1,-0.014605
2026-01-08T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,7.7,1,-0.014605
2026-01-08T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,98.6,0,-0.014662
2026-01-08T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,123.7,0,-0.014662
2026-01-08T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,108.6,0,-0.007018
2026-01-08T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,127.7,0,-0.007018
2026-01-08T21:00:00+00:00,VYTR,VYTR cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-12T12:00:00,3.6,-1,-5.3e-05
2026-01-08T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,4.7,-1,-5.3e-05
2026-01-08T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,137.7,-1,-5.3e-05
2026-01-09T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,5.6,-1,-0.004286
2026-01-09T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,160.6,-1,-0.004286
2026-01-09T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,161.7,-1,-0.004286
2026-01-09T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,6.7,-1,-0.004286
2026-01-09T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,76.6,1,0.004949
2026-01-09T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,7.7,1,0.004949
2026-01-09T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,90.6,1,0.02412
2026-01-09T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,6.7,1,0.02412
2026-01-09T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,97.6,0,-0.006864
2026-01-09T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,122.7,0,-0.006864
2026-01-09T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,107.6,0,0.013262
2026-01-09T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,126.7,0,0.013262
2026-01-09T21:00:00+00:00,VYTR,VYTR cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-12T12:00:00,2.6,-1,-0.050492
2026-01-09T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,3.7,-1,-0.050492
2026-01-09T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,136.7,-1,-0.050492
2026-01-12T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,2.6,-1,-0.005044
2026-01-12T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,157.6,-1,-0.005044
2026-01-12T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,158.7,-1,-0.005044
2026-01-12T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,3.7,-1,-0.005044
2026-01-12T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,73.6,1,0.000683
2026-01-12T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,4.7,1,0.000683
2026-01-12T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,87.6,1,-0.020531
2026-01-12T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,3.7,1,-0.020531
2026-01-12T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,94.6,0,0.024541
2026-01-12T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,119.7,0,0.024541
2026-01-12T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,104.6,0,0.003142
2026-01-12T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,123.7,0,0.003142
2026-01-12T21:00:00+00:00,VYTR,Sell-side downgrades VYTR to Underweight after the January news; price targets cut across the street.,2026-01-13T13:30:00,0.7,-1,-0.007326
2026-01-12T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,133.7,-1,-0.007326
2026-01-13T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,1.6,-1,0.001116
2026-01-13T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,156.6,-1,0.001116
2026-01-13T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,157.7,-1,0.001116
2026-01-13T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,2.7,-1,0.001116
2026-01-13T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,72.6,1,0.014516
2026-01-13T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,3.7,1,0.014516
2026-01-13T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,86.6,1,0.016008
2026-01-13T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,2.7,1,0.016008
2026-01-13T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,93.6,0,0.008776
2026-01-13T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,118.7,0,0.008776
2026-01-13T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,103.6,0,0.012548
2026-01-13T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,122.7,0,0.012548
2026-01-13T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,132.7,-1,-0.027511
2026-01-14T21:00:00+00:00,AVLN,AVLN cuts FY outlook in an unscheduled January update; flags weak demand and margin pressure.,2026-01-15T12:00:00,0.6,-1,-0.051398
2026-01-14T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,155.6,-1,-0.051398
2026-01-14T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,156.7,-1,-0.051398
2026-01-14T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,1.7,-1,-0.051398
2026-01-14T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,71.6,1,-0.000864
2026-01-14T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,2.7,1,-0.000864
2026-01-14T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,85.6,1,0.047436
2026-01-14T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,1.7,1,0.047436
2026-01-14T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,92.6,0,-0.022178
2026-01-14T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,117.7,0,-0.022178
2026-01-14T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,102.6,0,0.007149
2026-01-14T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,121.7,0,0.007149
2026-01-14T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,131.7,-1,0.011902
2026-01-15T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,154.6,-1,-0.02197
2026-01-15T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,155.7,-1,-0.02197
2026-01-15T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the January news; price targets cut across the street.,2026-01-16T13:30:00,0.7,-1,-0.02197
2026-01-15T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,70.6,1,0.046855
2026-01-15T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,1.7,1,0.046855
2026-01-15T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,84.6,1,0.016946
2026-01-15T21:00:00+00:00,HLIO,Sell-side upgrades HLIO to Overweight after the January news; price targets raised across the street.,2026-01-16T13:30:00,0.7,1,0.016946
2026-01-15T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,91.6,0,-0.007672
2026-01-15T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,116.7,0,-0.007672
2026-01-15T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,101.6,0,-0.006111
2026-01-15T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,120.7,0,-0.006111
2026-01-15T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,130.7,-1,-0.015854
2026-01-16T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,153.6,-1,-0.012921
2026-01-16T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,154.7,-1,-0.012921
2026-01-16T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,69.6,1,0.010034
2026-01-16T21:00:00+00:00,CRDX,Sell-side upgrades CRDX to Overweight after the January news; price targets raised across the street.,2026-01-17T13:30:00,0.7,1,0.010034
2026-01-16T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,83.6,1,-0.016211
2026-01-16T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,90.6,0,0.017142
2026-01-16T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,115.7,0,0.017142
2026-01-16T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,100.6,0,-0.00762
2026-01-16T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,119.7,0,-0.00762
2026-01-16T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,129.7,-1,0.002792
2026-01-19T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,150.6,-1,0.002387
2026-01-19T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,151.7,-1,0.002387
2026-01-19T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,66.6,1,0.001188
2026-01-19T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,80.6,1,-0.013524
2026-01-19T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,87.6,0,-0.004572
2026-01-19T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,112.7,0,-0.004572
2026-01-19T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,97.6,0,0.017538
2026-01-19T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,116.7,0,0.017538
2026-01-19T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,126.7,-1,0.001079
2026-01-20T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,149.6,-1,0.004131
2026-01-20T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,150.7,-1,0.004131
2026-01-20T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,65.6,1,0.001786
2026-01-20T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,79.6,1,0.009961
2026-01-20T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,86.6,0,0.002232
2026-01-20T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,111.7,0,0.002232
2026-01-20T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,96.6,0,-0.008552
2026-01-20T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,115.7,0,-0.008552
2026-01-20T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,125.7,-1,-0.000489
2026-01-21T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,148.6,-1,-0.013336
2026-01-21T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,149.7,-1,-0.013336
2026-01-21T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,64.6,1,0.001553
2026-01-21T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,78.6,1,-0.003493
2026-01-21T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,85.6,0,-0.02214
2026-01-21T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,110.7,0,-0.02214
2026-01-21T21:00:00+00:00,QNTA,QNTA raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-27T12:00:00,95.6,0,-0.006985
2026-01-21T21:00:00+00:00,QNTA,Sell-side downgrades QNTA to Underweight after the May news; price targets cut across the street.,2026-05-16T13:30:00,114.7,0,-0.006985
2026-01-21T21:00:00+00:00,VYTR,Sell-side upgrades VYTR to Overweight after the May news; price targets raised across the street.,2026-05-26T13:30:00,124.7,-1,-0.003482
2026-01-22T21:00:00+00:00,AVLN,"Moody's downgrades AVLN one notch in June, citing deteriorating leverage and weak free cash flow.",2026-06-19T12:00:00,147.6,-1,-0.010785
2026-01-22T21:00:00+00:00,AVLN,Sell-side downgrades AVLN to Underweight after the June news; price targets cut across the street.,2026-06-20T13:30:00,148.7,-1,-0.010785
2026-01-22T21:00:00+00:00,CRDX,CRDX cuts FY outlook in an unscheduled March update; flags weak demand and margin pressure.,2026-03-27T12:00:00,63.6,1,0.002201
2026-01-22T21:00:00+00:00,HLIO,HLIO raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-10T12:00:00,77.6,1,0.013684
2026-01-22T21:00:00+00:00,NMBS,NMBS raises FY outlook in an unscheduled April update; cites strong demand and expanding margins.,2026-04-17T12:00:00,84.6,0,0.009313
2026-01-22T21:00:00+00:00,NMBS,Sell-side upgrades NMBS to Overweight after the May news; price targets raised across the street.,2026-05-12T13:30:00,109.7,0,0.009313
